id,Name,Country,Fueltype,Capacity,CapacityFactor,EmissionFactor_kg_per_kWh,EstimatedAnnualCO2_tonnes
0,Pumpspeicherkraftwerk Erzhausen,Germany,Hydro,200.0,0.4,0,0.0
1,La Plate Taille,Belgium,Hydro,144.0,0.4,0,0.0
2,Illwerke Vkw Rodundwerk,Austria,Hydro,495.0,0.4,0,0.0
3,Bissorte,France,Hydro,818.0,0.4,0,0.0
4,Obervermuntwerk Maschine Turbine,Austria,Hydro,380.0,0.4,0,0.0
5,Grand Maison,France,Hydro,1713.0,0.4,0,0.0
6,Coche,France,Hydro,384.0,0.4,0,0.0
7,Cheylas,France,Hydro,485.0,0.4,0,0.0
8,Pouget,France,Hydro,447.0,0.4,0,0.0
9,Montezic,France,Hydro,910.0,0.4,0,0.0
10,Psw Goldisthal Pss,Germany,Hydro,1052.0,0.4,0,0.0
11,Sainte Croix,France,Hydro,132.0,0.4,0,0.0
12,Vouglans,France,Hydro,285.0,0.4,0,0.0
13,Anapo,Italy,Hydro,500.0,0.4,0,0.0
14,Edolo,Italy,Hydro,950.0,0.4,0,0.0
15,Presenzano,Italy,Hydro,985.0,0.4,0,0.0
16,Roncovalgrande,Italy,Hydro,1000.0,0.4,0,0.0
17,San Fiorano,Italy,Hydro,268.0,0.4,0,0.0
18,Dychow,Poland,Hydro,88.0,0.4,0,0.0
19,Porabka Zar,Poland,Hydro,552.0,0.4,0,0.0
20,Limmern,Switzerland,Hydro,1352.0,0.4,0,0.0
21,Revin,France,Hydro,808.0,0.4,0,0.0
22,Illwerke Vkw Kopswerk,Austria,Hydro,525.0,0.4,0,0.0
23,Foyers,United Kingdom,Hydro,320.0,0.4,0,0.0
24,Ffestiniog,United Kingdom,Hydro,384.0,0.4,0,0.0
25,Dinorwig,United Kingdom,Hydro,2016.0,0.4,0,0.0
26,Coo,Belgium,Hydro,1164.0,0.4,0,0.0
27,Cruachan,United Kingdom,Hydro,440.0,0.4,0,0.0
28,Koepchenwerk Bl,Germany,Hydro,162.0,0.4,0,0.0
29,Waldeck,Germany,Hydro,555.0,0.4,0,0.0
30,Illwerke Vkw Lunerseewerk,Austria,Hydro,280.0,0.4,0,0.0
31,Pumpspeicherwerk Ronkhausen Psw,Germany,Hydro,138.0,0.4,0,0.0
32,Taloro,Italy,Hydro,240.0,0.4,0,0.0
33,Aguayo,Spain,Hydro,360.0,0.4,0,0.0
34,Bolarque,Spain,Hydro,220.0,0.4,0,0.0
35,Guillena,Spain,Hydro,207.0,0.4,0,0.0
36,Serre Poncon,France,Hydro,384.0,0.4,0,0.0
37,Sarrans,France,Hydro,183.0,0.4,0,0.0
38,Gargnano,Italy,Hydro,137.0,0.4,0,0.0
39,Saint Guillerme,France,Hydro,116.0,0.4,0,0.0
40,Saint Esteve,France,Hydro,146.0,0.4,0,0.0
41,Saint Chamas,France,Hydro,159.0,0.4,0,0.0
42,Rhinau,France,Hydro,152.0,0.4,0,0.0
43,Pragneres,France,Hydro,189.0,0.4,0,0.0
44,Pied De Borne,France,Hydro,109.0,0.4,0,0.0
45,Ottmarsheim,France,Hydro,156.0,0.4,0,0.0
46,Gordola,Switzerland,Hydro,133.0,0.4,0,0.0
47,Bieudron,Switzerland,Hydro,1260.0,0.4,0,0.0
48,Sloy,United Kingdom,Hydro,153.0,0.4,0,0.0
49,Verbois,Switzerland,Hydro,103.0,0.4,0,0.0
50,Vietas,Sweden,Hydro,325.0,0.4,0,0.0
51,Trangslet,Sweden,Hydro,329.0,0.4,0,0.0
52,Stornorrfors,Sweden,Hydro,599.0,0.4,0,0.0
53,Genissiat,France,Hydro,420.0,0.4,0,0.0
54,Mareges,France,Hydro,146.0,0.4,0,0.0
55,Fessenheim,France,Hydro,175.0,0.4,0,0.0
56,Curbans,France,Hydro,139.0,0.4,0,0.0
57,Couesque,France,Hydro,119.0,0.4,0,0.0
58,Provvidenza,Italy,Hydro,139.0,0.4,0,0.0
59,Porsi,Sweden,Hydro,282.0,0.4,0,0.0
60,Ritsem,Sweden,Hydro,304.0,0.4,0,0.0
61,Porjus,Sweden,Hydro,417.0,0.4,0,0.0
62,Seitevare,Sweden,Hydro,214.0,0.4,0,0.0
63,Stalon,Sweden,Hydro,130.0,0.4,0,0.0
